previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-05,2017-06,3545,3135,ADEQUATE,price_range,0.00861648929349923,0.0,0.0,0.0,0.0,0.0,0.0,
2017-05,2017-06,3545,3135,ADEQUATE,total_freight,0.017956868064506692,0.001360161675310191,0.01566061375537636,16.46,16.49,0.029999999999997584,9.450000000000001,0.0031746031746029187
2017-05,2017-06,3545,3135,ADEQUATE,mean_freight,0.018284845335546862,0.03998115100750041,0.0838196119866698,15.87,16.11,0.2400000000000002,5.870000000000001,0.040885860306643984
2017-05,2017-06,3545,3135,ADEQUATE,max_freight,0.018799081303720933,0.044810737348717836,0.08849247564482471,16.05,16.11,0.05999999999999872,6.149999999999999,0.009756097560975403
2017-05,2017-06,3545,3135,ADEQUATE,merchandise_plus_freight,0.023297183849481373,0.004787428173546715,0.02937591499180144,104.28,100.33,-3.950000000000003,108.67999999999999,0.03634523371365479
2017-05,2017-06,3545,3135,ADEQUATE,freight_price_ratio,0.036538197654670035,0.0073947794691048025,0.036505681337958236,0.2180257510729613,0.2338461538461538,0.015820402773192493,0.250183464869592,0.06323520533796617
2017-06,2017-07,3135,3872,ADEQUATE,item_count,0.016209040162389443,0.0,0.0,1.0,1.0,0.0,0.0,
2017-06,2017-07,3135,3872,ADEQUATE,unique_product_count,0.007206031607945418,0.0,0.0,1.0,1.0,0.0,0.0,
2017-06,2017-07,3135,3872,ADEQUATE,unique_seller_count,0.008554443961142466,0.0,0.0,1.0,1.0,0.0,0.0,
2017-06,2017-07,3135,3872,ADEQUATE,total_price,0.028874873133246326,0.007787288666943464,0.03746350803068892,79.9,84.5,4.599999999999994,98.64499999999998,0.04663186172639257
2017-06,2017-07,3135,3872,ADEQUATE,mean_price,0.028115484993475492,0.014040430059338669,0.05028276707932404,74.99,75.9,0.9100000000000108,94.63499999999999,0.009615892640143824
2017-06,2017-07,3135,3872,ADEQUATE,max_price,0.027583550819196834,0.013868951102269711,0.0499745722938602,75.0,77.8,2.799999999999997,95.0,0.029473684210526287
2017-06,2017-07,3135,3872,ADEQUATE,min_price,0.028829563578367412,0.014522092222433461,0.051136623410255044,74.9,74.99,0.0899999999999892,94.18499999999997,0.0009555661729573629
2017-06,2017-07,3135,3872,ADEQUATE,price_range,0.010393105698129568,0.0,0.0,0.0,0.0,0.0,0.0,
2017-06,2017-07,3135,3872,ADEQUATE,total_freight,0.013860192837465535,0.004150728372535426,0.02735292982024603,16.49,16.46,-0.029999999999997584,9.500000000000002,0.00315789473684185
2017-06,2017-07,3135,3872,ADEQUATE,mean_freight,0.014792663476874024,0.0026106759949547213,0.02169569969333849,16.11,16.0,-0.10999999999999943,6.150000000000002,0.017886178861788518
2017-06,2017-07,3135,3872,ADEQUATE,max_freight,0.012285232709873861,0.003162574321035244,0.023877340041419465,16.11,16.11,0.0,6.4,0.0
2017-06,2017-07,3135,3872,ADEQUATE,merchandise_plus_freight,0.024745360301580366,0.005691420777227007,0.03202384944250979,100.33,102.03,1.7000000000000028,106.24,0.016001506024096415
2017-06,2017-07,3135,3872,ADEQUATE,freight_price_ratio,0.03403381905176173,0.009078491403810831,0.04044685503057359,0.2338461538461538,0.2243739565943238,-0.009472197251829989,0.2620807539579133,0.03614228480642687
2017-07,2017-08,3872,4193,ADEQUATE,item_count,0.004936651601547659,1.1183496736072949e-05,0.0014201371467848184,1.0,1.0,0.0,0.0,
2017-07,2017-08,3872,4193,ADEQUATE,unique_product_count,0.0026086373787086448,0.0,0.0,1.0,1.0,0.0,0.0,
2017-07,2017-08,3872,4193,ADEQUATE,unique_seller_count,0.0026963475134669235,0.0,0.0,1.0,1.0,0.0,0.0,
2017-07,2017-08,3872,4193,ADEQUATE,total_price,0.016701266179563246,0.005304045069713839,0.03091851759823847,84.5,79.99,-4.510000000000005,103.1,0.04374393792434535
