current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks_statistic,rank_psi,rank_js_distance,rank_normalized_wasserstein,rank_robust_median_shift,consensus_rank_score
2017-08,18071,4193,ADEQUATE,mean_freight,0.05563530755010221,0.13650546850520295,0.15295526587281666,0.6042373685750022,0.09031948708146521,16.05,15.87,-0.1800000000000015,6.6899999999999995,0.02690582959641278,31.0,28.0,28.0,78.0,92.0,51.4
2017-12,38180,5513,ADEQUATE,mean_freight,0.041479228533309986,0.035056120190628544,0.07935609687412357,0.6257355132489703,0.09466497931149324,16.11,15.79,-0.3200000000000003,6.609999999999999,0.048411497730711094,55.0,47.0,47.0,70.0,39.0,51.6
2018-02,50762,6555,ADEQUATE,mean_freight,0.04718708694897855,0.01739023337528365,0.05597470053600268,0.7780996036654803,0.11897547456658718,16.09,15.76,-0.33000000000000007,6.540000000000001,0.05045871559633028,45.0,69.0,69.0,42.0,33.0,51.6
2017-02,1017,1653,ADEQUATE,total_price,0.057669348837458334,0.04139904330702606,0.08618836840374558,20.81264464181531,0.16020817983076985,86.69999999999999,84.9,-1.799999999999983,129.91,0.0138557462858901,24.0,45.0,45.0,27.0,120.0,52.2
2017-12,38180,5513,ADEQUATE,max_freight,0.04298501746004041,0.03726391148363255,0.08176782227424638,0.64446817109367,0.09219859386175537,16.11,15.8,-0.3099999999999987,6.99,0.04434907010014288,51.0,46.0,46.0,74.0,46.0,52.6
2017-12,38180,5513,ADEQUATE,min_price,0.0423909931637369,0.027243462432010226,0.07001733379633332,9.130361621328925,0.092216560158862,75.0,79.9,4.900000000000006,99.00999999999999,0.04948995051004955,52.0,53.0,53.0,73.0,36.0,53.4
2017-05,7519,3545,ADEQUATE,max_freight,0.05682488237133535,0.16804834019268117,0.17248007667892915,1.004343875065158,0.1467266435449464,16.05,16.05,0.0,6.844999999999999,0.0,26.0,24.0,24.0,31.0,163.0,53.6
2018-06,77867,6096,ADEQUATE,freight_price_ratio,0.049527861070867596,0.013993900622833913,0.05021230631264522,0.025140802921460686,0.10295925347783491,0.2223492426407545,0.24178708993928621,0.019437847298531707,0.2441820630223684,0.07960391135179776,42.0,77.0,77.0,54.0,21.0,54.2
2018-07,83963,6156,ADEQUATE,freight_price_ratio,0.05517616105184864,0.015664219653017945,0.05311673936955159,0.022729475380675032,0.09209202063830937,0.2235479908755922,0.2454932340208516,0.02194524314525939,0.24681264699299904,0.08891458121220944,32.0,73.0,73.0,75.0,19.0,54.4
2017-07,14199,3872,ADEQUATE,mean_freight,0.046190014399803525,0.19201329609282483,0.18011800484639562,0.8413320662347564,0.1263261360712848,16.05,16.0,-0.05000000000000071,6.659999999999998,0.007507507507507616,48.0,21.0,21.0,38.0,146.0,54.8
2017-07,14199,3872,ADEQUATE,max_freight,0.04346606005893794,0.18719028779788482,0.17770516238489512,0.8325214763843753,0.12425693677378735,16.05,16.11,0.05999999999999872,6.700000000000001,0.008955223880596823,50.0,23.0,23.0,40.0,139.0,55.0
2018-05,71118,6749,ADEQUATE,freight_price_ratio,0.06116017841931734,0.021370591223440268,0.061977519660811796,0.017450600936471293,0.07111667088480265,0.2235867031519205,0.2023558173130348,-0.021230885838885688,0.2453798908098272,0.08652251726421999,23.0,62.0,62.0,122.0,20.0,57.8
2017-03,2670,2546,ADEQUATE,mean_freight,0.05252831054661644,0.03058512549435125,0.07406922570570253,0.7352684182576188,0.10765276987666451,16.155,16.01,-0.14499999999999957,6.830000000000002,0.02122986822840403,36.0,51.0,51.0,50.0,102.0,58.0
2017-12,38180,5513,ADEQUATE,mean_price,0.042222934751965424,0.023492783228110308,0.06503681525981149,9.063444766888633,0.09072517284172806,75.9,79.99,4.089999999999989,99.9,0.04094094094094083,53.0,58.0,58.0,77.0,50.0,59.2
2017-02,1017,1653,ADEQUATE,merchandise_plus_freight,0.056161408505497334,0.05247721194519431,0.0970929558227933,21.175078207674826,0.15260217791636516,105.74,105.83,0.09000000000000341,138.76,0.0006486019025656054,29.0,41.0,41.0,29.0,161.0,60.2
2017-07,14199,3872,ADEQUATE,total_freight,0.03974897254433596,0.059104591653514664,0.1029900754478318,0.8947835176671386,0.09508857786048233,16.67,16.46,-0.21000000000000085,9.409999999999998,0.02231668437832103,61.0,37.0,36.0,69.0,99.0,60.4
