current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-10,26414,4478,ADEQUATE,max_price,0.023697050770882133,0.004138410781146027,0.027312880259782856,6.988426457365171,0.06995421879244415,77.08,79.13499999999999,2.0549999999999926,99.9,0.020570570570570497
2017-10,26414,4478,ADEQUATE,min_price,0.02102653210856653,0.0044094981327679585,0.028192054933226803,6.788998761534942,0.06861386387927577,75.0,78.99,3.989999999999995,98.94500000000001,0.04032543332154222
2017-10,26414,4478,ADEQUATE,price_range,0.005439260305372784,0.0,0.0,0.3406889343636937,,0.0,0.0,0.0,0.0,
2017-10,26414,4478,ADEQUATE,total_freight,0.032607983646389394,0.018220161312553856,0.057276910642699005,1.2398982244890113,0.12785751219273125,16.66,16.79,0.129999999999999,9.6975,0.013405516885795206
2017-10,26414,4478,ADEQUATE,mean_freight,0.03345414867053362,0.08051314263115376,0.11952654939928944,0.7822494543978665,0.11675364991012932,16.11,16.12,0.010000000000001563,6.700000000000001,0.001492537313433069
2017-10,26414,4478,ADEQUATE,max_freight,0.032470346348534906,0.09667856303945122,0.129909478440844,0.8335324852598759,0.11839950074714148,16.11,16.16,0.05000000000000071,7.039999999999999,0.007102272727272829
2017-10,26414,4478,ADEQUATE,merchandise_plus_freight,0.022573446829883326,0.0068903627681932145,0.035239278840029024,10.543948708057624,0.09341675120100668,102.245,106.29,4.045000000000002,112.87,0.03583768937715958
2017-10,26414,4478,ADEQUATE,freight_price_ratio,0.025518952639005832,0.00861188319305103,0.03938498264703949,0.01782165285577981,0.07181227830120367,0.2243739565943238,0.2243739565943238,0.0,0.2481699965154997,0.0
2017-11,30892,7288,ADEQUATE,item_count,0.013021214946217441,0.0,0.0,0.023717414716160512,,1.0,1.0,0.0,0.0,
2017-11,30892,7288,ADEQUATE,unique_product_count,0.003882546509897389,0.0,0.0,0.005926155681640344,,1.0,1.0,0.0,0.0,
2017-11,30892,7288,ADEQUATE,unique_seller_count,0.0021106960505299366,0.0,0.0,0.002289464105179828,,1.0,1.0,0.0,0.0,
