test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite
2017-11,2017-11-01,4,8,21,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.10883160946107455,0.8773946568056541,0.43776424606871156,0.5510108161178652,0.12057935926115902,0.04314159292035398,0.07743362831858407,0.14601769911504425,0,42,True
2017-11,2017-11-01,5,10,23,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.135108574080889,1.0892381503335387,0.5014059623616564,0.5278339132599574,0.11990266801196581,0.06969026548672566,0.125,0.24336283185840707,0,40,True
2017-11,2017-11-01,6,12,25,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.1381114187536566,1.113446924642311,0.5031044147980571,0.5273115400295852,0.1198431195318618,0.06858407079646017,0.13938053097345132,0.2577433628318584,0,48,True
2017-11,2017-11-01,10,20,33,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.13724446589873912,1.1064575967588615,0.504208530174995,0.5361757690634781,0.11995447098807728,0.061946902654867256,0.13606194690265486,0.2665929203539823,0,43,True
2017-11,2017-11-01,15,30,43,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.10745462428091888,0.8662934753974965,0.4225622130547607,0.6168471122028097,0.12139584254239187,0.0420353982300885,0.08296460176991151,0.168141592920354,0,47,True
2017-11,2017-11-01,20,40,53,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.11212540428171984,0.903949055757936,0.4377337494732406,0.612162064126161,0.12115115790405313,0.04756637168141593,0.08849557522123894,0.17699115044247787,0,47,True
2017-11,2017-11-01,23,46,59,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.10809761595044025,0.8714772400960271,0.43493014200323815,0.6219565255874394,0.12134564651013294,0.035398230088495575,0.07964601769911504,0.168141592920354,0,46,True
2017-11,2017-11-01,25,50,63,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.1100377619431124,0.8871185940723487,0.4413451701710027,0.6235226394029024,0.12130175264644402,0.034292035398230086,0.07853982300884955,0.18252212389380532,0,48,True
2017-11,2017-11-01,27,54,67,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.11839185193137346,0.9544688239777099,0.44903065878191056,0.6155660901552749,0.12093553761153625,0.051991150442477874,0.09734513274336283,0.18584070796460178,0,47,True
2017-11,2017-11-01,30,60,73,29273,942,3.2179824411573805,7288,904,0.12403951701427003,0.11613318662366053,0.9362595841960596,0.4445899386186706,0.6170095501152546,0.12091467879735966,0.046460176991150445,0.0918141592920354,0.17699115044247787,0,46,True
2017-12,2017-12-01,0,0,13,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.11243670012039014,1.508183765848445,0.6253780541193235,0.284969148498937,0.07048545277301806,0.0948905109489051,0.170316301703163,0.29927007299270075,0,17,True
2017-12,2017-12-01,1,2,15,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.0736117713033952,0.9874007182375129,0.4816368944576861,0.3016665429775024,0.07143909982246144,0.043795620437956206,0.0827250608272506,0.16058394160583941,0,35,True
2017-12,2017-12-01,2,4,17,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06945934982717511,0.9317016924506482,0.4511221685880543,0.3027454915976871,0.07146509815866631,0.05596107055961071,0.09002433090024331,0.16058394160583941,0,37,True
2017-12,2017-12-01,3,6,19,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06614476859973353,0.8872411418256229,0.4528699684585311,0.3128379616893245,0.07188195015624838,0.043795620437956206,0.072992700729927,0.1654501216545012,0,35,True
2017-12,2017-12-01,4,8,21,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06023286950362489,0.8079411425145597,0.4056245296677702,0.34856009837144025,0.07280768021417518,0.0267639902676399,0.06569343065693431,0.1386861313868613,0,18,True
2017-12,2017-12-01,5,10,23,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.06148225643456024,0.8246999506660112,0.41410267048559746,0.3566442865270152,0.07294802591953484,0.0267639902676399,0.0681265206812652,0.15085158150851583,0,18,True
2017-12,2017-12-01,6,12,25,33943,1132,3.3350027988097692,5513,411,0.07455106112824234,0.061556502367402205,0.8256958577895094,0.42298950557054577,0.3430641000130299,0.07282401018734994,0.024330900243309004,0.0681265206812652,0.13381995133819952,0,24,True
