year,month,uf,diesel_common_state_mean,diesel_s10_state_mean,diesel_common_state_n_posts,diesel_s10_state_n_posts
2018,3,RS,3.311667021276596,3.433638408304499,940,1156
2018,3,SC,3.2551651982378855,3.365135876042908,454,839
2018,3,SE,3.3698227848101268,3.5151910828025477,79,157
2018,3,SP,3.2874373443983407,3.411035972629521,3615,5115
2018,3,TO,3.356008849557522,3.429733333333334,113,180
2018,4,AC,4.169082802547771,4.221235294117647,157,153
2018,4,AL,3.476263803680982,3.574737113402062,163,194
2018,4,AM,3.5906882352941176,3.721,170,170
2018,4,AP,3.940290697674418,4.434701754385966,86,57
2018,4,BA,3.4403680154142577,3.5311290877796906,1038,1162
2018,4,CE,3.6088791946308723,3.626204805491991,298,874
2018,4,DF,3.614,3.7370000000000005,113,177
2018,4,ES,3.354400602409638,3.455011331444759,332,353
2018,4,GO,3.5089509379509387,3.6124867986798685,693,606
2018,4,MA,3.40427626459144,3.4184752688172044,257,465
2018,4,MG,3.5228621887666463,3.633003164556962,1727,1896
2018,4,MS,3.746927710843373,3.864648484848485,249,330
2018,4,MT,3.741323759791123,3.827185628742515,383,501
2018,4,PA,3.6666151315789475,3.68058064516129,304,496
2018,4,PB,3.347364238410596,3.419093896713615,151,213
2018,4,PE,3.4128666666666665,3.376647594278283,120,769
2018,4,PI,3.5282865853658536,3.617158844765343,164,277
2018,4,PR,3.2363246887966803,3.3428850038850038,964,1287
2018,4,RJ,3.58780942408377,3.7273541666666667,955,1296
2018,4,RN,3.5524811320754717,3.667535087719298,212,228
2018,4,RO,3.6386736842105263,3.729868131868132,285,273
2018,4,RR,3.5330000000000004,3.612,41,50
2018,4,RS,3.337574448529412,3.4587225950783,1088,1341
2018,4,SC,3.2868086303939967,3.3899980468749997,533,1024
2018,4,SE,3.4125263157894734,3.5614999999999997,76,152
2018,4,SP,3.3339756963407976,3.4505263257935757,3662,5261
2018,4,TO,3.4277076923076923,3.5005434782608695,130,184
2018,5,AC,4.382825503355704,4.45061935483871,149,155
2018,5,AL,3.699194029850746,3.7637516339869275,134,153
2018,5,AM,3.716690476190476,3.838179894179894,168,189
2018,5,AP,4.136865979381444,4.599426229508197,97,61
2018,5,BA,3.650163588390501,3.728179864253394,758,884
2018,5,CE,3.8015511111111118,3.832663461538462,225,832
2018,5,DF,3.802,3.914,60,113
2018,5,ES,3.5272387543252592,3.6320063291139237,289,316
2018,5,GO,3.7183533225283627,3.836810313075507,617,543
2018,5,MA,3.5924246575342464,3.595244736842105,219,380
2018,5,MG,3.7155169616519172,3.820945592286501,1356,1452
2018,5,MS,3.851092233009708,3.9704139194139194,206,273
2018,5,MT,3.8908181818181813,3.964817427385892,363,482
2018,5,PA,3.8249181034482755,3.842036939313984,232,379
2018,5,PB,3.538134020618557,3.5963247422680418,97,194
2018,5,PE,3.623887323943663,3.595214411247803,71,569
2018,5,PI,3.704830065359477,3.8006588235294116,153,255
2018,5,PR,3.455153465346535,3.544940019665684,808,1017
2018,5,RJ,3.750617268041237,3.8885858843537413,776,1176
2018,5,RN,3.7127558139534886,3.835043902439024,172,205
2018,5,RO,3.7853862660944206,3.883084033613445,233,238
2018,5,RR,3.742,3.816,46,55
2018,5,RS,3.568156250000001,3.677018793273986,768,1011
2018,5,SC,3.4591390532544373,3.5834364207221343,338,637
2018,5,SE,3.660395061728395,3.7803225806451617,81,155
2018,5,SP,3.5391622526636217,3.648657655755016,3285,4735
2018,5,TO,3.5833109243697483,3.6294679487179486,119,156
2018,6,AC,4.2295436241610735,4.2777702702702705,149,148
2018,6,AL,3.639853146853147,3.740324675324675,143,154
2018,6,AM,3.540716981132076,3.657254658385093,159,161
2018,6,AP,3.800816091954023,4.239046153846154,87,65
